,datetime,Open,High,Low,Close,Volume
0,2024-07-21 00:00:00,67178.8,67326.0,67153.6,67183.86,16.5673714
1,2024-07-21 00:15:00,67183.87,67275.0,67160.4,67206.0,20.53873563
2,2024-07-21 00:30:00,67166.76,67265.0,67053.6,67118.73,52.81506414
3,2024-07-21 00:45:00,67118.73,67209.0,67030.0,67070.42,23.29068243
4,2024-07-21 01:00:00,67151.0,67171.0,66919.4,67003.5,94.51150238
5,2024-07-21 01:15:00,67009.17,67186.0,66998.2,67064.0,19.01199945
6,2024-07-21 01:30:00,67072.23,67203.0,67055.4,67097.05,20.61689836
7,2024-07-21 01:45:00,67096.66,67198.0,67045.4,67079.38,19.66651252
8,2024-07-21 02:00:00,67087.1,67207.0,66960.21,67059.16,44.9293469
9,2024-07-21 02:15:00,67059.16,67147.0,66681.39,66835.89,187.89876815
10,2024-07-21 02:30:00,66835.87,66910.0,66649.8,66812.38,47.82826443
11,2024-07-21 02:45:00,66807.6,66878.0,66700.5,66747.4,82.50352165999999
12,2024-07-21 03:00:00,66742.9,66844.0,66611.03,66771.25,108.33206507
13,2024-07-21 03:15:00,66771.25,66897.0,66665.47,66689.89,37.34338312
14,2024-07-21 03:30:00,66690.67,66784.0,66656.5,66727.21,80.08901982
15,2024-07-21 03:45:00,66726.04,66827.0,66666.7,66726.43,22.05832988
16,2024-07-21 04:00:00,66721.6,66956.0,66689.0,66880.92,54.41004893
17,2024-07-21 04:15:00,66880.91,66956.0,66808.5,66870.6,25.31093792
18,2024-07-21 04:30:00,66828.81,66910.0,66738.39,66847.47,20.51706243
19,2024-07-21 04:45:00,66847.47,66968.0,66795.8,66907.0,16.0531605
20,2024-07-21 05:00:00,66821.01,66989.0,66782.0,66918.49,28.05867176
21,2024-07-21 05:15:00,66918.49,67024.0,66870.1,66892.33,32.081156490000005
22,2024-07-21 05:30:00,66890.8,67045.0,66862.95,66963.78,29.76791972
23,2024-07-21 05:45:00,66940.9,67093.0,66935.0,66999.25,18.75489974
24,2024-07-21 06:00:00,67000.0,67137.0,66968.8,67040.7,25.26451622
25,2024-07-21 06:15:00,67017.92,67106.0,66904.7,66946.38,39.91876507
26,2024-07-21 06:30:00,66946.38,67025.0,66885.7,66925.0,16.44394959
27,2024-07-21 06:45:00,66923.16,67001.0,66822.0,66823.5,24.54301756
28,2024-07-21 07:00:00,66825.72,66933.0,66805.6,66849.8,16.53810892
29,2024-07-21 07:15:00,66888.19,66957.0,66788.6,66802.49,42.73940027
30,2024-07-21 07:30:00,66802.5,66932.0,66779.1,66839.58,39.74575695
31,2024-07-21 07:45:00,66833.6,66956.0,66800.1,66900.39,21.07596744
32,2024-07-21 08:00:00,66873.5,67064.0,66866.0,66994.62,36.78371504
33,2024-07-21 08:15:00,66994.62,67062.0,66906.9,67041.0,33.63804166
34,2024-07-21 08:30:00,66976.17,67051.0,66853.3,66875.07,27.31200231
35,2024-07-21 08:45:00,66875.07,67034.0,66838.3,66959.0,32.73736134
36,2024-07-21 09:00:00,66950.28,67047.0,66885.8,66987.33,25.49494583
37,2024-07-21 09:15:00,66986.24,67046.0,66847.1,66910.78,86.36563055
38,2024-07-21 09:30:00,66908.0,67030.0,66640.79,66759.15,115.28138706
39,2024-07-21 09:45:00,66719.6,66892.0,66670.6,66799.14,55.532018
40,2024-07-21 10:00:00,66892.0,67097.0,66716.04,66965.74,113.94936906
41,2024-07-21 10:15:00,66965.74,67290.0,66956.0,67122.0,163.86372427
42,2024-07-21 10:30:00,67124.0,67490.0,67045.4,67393.0,98.13150289
43,2024-07-21 10:45:00,67397.69,67544.0,67255.2,67347.3,108.58963346
44,2024-07-21 11:00:00,67347.3,67516.0,67140.73,67169.54,76.46434359
45,2024-07-21 11:15:00,67138.3,67340.0,67053.8,67256.58,172.25792288
46,2024-07-21 11:30:00,67256.58,67626.0,67228.43,67284.5,263.67704207
47,2024-07-21 11:45:00,67242.0,67361.0,67008.0,67197.39,104.91977634
48,2024-07-21 12:00:00,67206.1,67352.0,67095.9,67225.6,41.08213579
49,2024-07-21 12:15:00,67240.57,67345.0,66969.3,67201.0,185.15211886
50,2024-07-21 12:30:00,67105.5,67204.0,66985.6,67080.29,37.99220196
51,2024-07-21 12:45:00,67080.29,67706.0,67044.5,67593.63,362.44789335
52,2024-07-21 13:00:00,67593.63,67829.0,67369.64,67538.94,241.57039803
53,2024-07-21 13:15:00,67536.43,67633.0,67330.8,67391.01,94.17191665
54,2024-07-21 13:30:00,67391.01,67550.0,67322.0,67412.31,74.15943939
55,2024-07-21 13:45:00,67419.71,67536.0,66520.0,66679.78,742.65358074
56,2024-07-21 14:00:00,66679.79,66889.0,65784.6,66298.8,826.20743688
57,2024-07-21 14:15:00,66273.4,67196.0,66242.4,66991.03,481.29024425
58,2024-07-21 14:30:00,66996.96,67452.0,66913.0,66957.87,463.04658414
59,2024-07-21 14:45:00,66956.96,67129.0,66814.92,66892.09,104.27272424
60,2024-07-21 15:00:00,66893.43,67139.0,66808.8,66992.36,78.66393306
61,2024-07-21 15:15:00,66992.37,67528.0,66911.4,67324.6,241.35132533
62,2024-07-21 15:30:00,67330.96,67780.0,67240.0,67347.38,278.32156648
63,2024-07-21 15:45:00,67347.37,67553.0,67264.57,67448.39,82.77073677
64,2024-07-21 16:00:00,67450.0,67671.0,67287.9,67479.8,70.97335293
65,2024-07-21 16:15:00,67479.8,68251.0,67479.8,68139.6,743.02637698
66,2024-07-21 16:30:00,68142.0,68254.0,67951.38,68029.02,310.05017414
67,2024-07-21 16:45:00,68029.03,68125.0,67697.42,67741.67,219.67864159
68,2024-07-21 17:00:00,67741.68,67935.0,67576.0,67658.84,205.56821784
69,2024-07-21 17:15:00,67658.84,67976.0,67618.84,67822.54,123.61263645
70,2024-07-21 17:30:00,67822.54,68377.0,67822.54,68111.82,352.07738963
71,2024-07-21 17:45:00,68107.99,68352.0,67975.2,68201.44,161.93166993
72,2024-07-21 18:00:00,68201.65,68479.0,68058.91,68083.79,290.48777782
73,2024-07-21 18:15:00,68083.79,68230.0,68016.95,68053.54,110.12352024
74,2024-07-21 18:30:00,68053.55,68215.0,67948.94,68002.23,102.67761844
75,2024-07-21 18:45:00,68010.68,68169.0,67977.3,68021.0,61.603067120000006
76,2024-07-21 19:00:00,68023.3,68278.0,68018.3,68143.4,194.76129777
77,2024-07-21 19:15:00,68143.49,68242.0,68021.48,68093.4,87.05869747
78,2024-07-21 19:30:00,68064.26,68166.0,67950.6,67968.97,66.98825901000001
79,2024-07-21 19:45:00,67965.83,68265.0,67878.27,68173.74,134.924754
80,2024-07-21 20:00:00,68137.2,68326.0,68110.36,68126.37,159.3210908
81,2024-07-21 20:15:00,68126.23,68304.0,68042.97,68219.55,81.29199947000001
82,2024-07-21 20:30:00,68221.0,68442.0,68192.7,68363.21,99.17588501
83,2024-07-21 20:45:00,68363.18,68560.0,68151.87,68207.0,281.64067052
84,2024-07-21 21:00:00,68206.3,68308.0,68023.25,68078.32,90.05057783000001
85,2024-07-21 21:15:00,68075.37,68199.0,67829.97,67975.05,179.30678125
86,2024-07-21 21:30:00,67975.05,68062.0,67764.08,67923.24,149.64031746
87,2024-07-21 21:45:00,67923.24,68058.0,67787.26,67854.48,112.51083941
88,2024-07-21 22:00:00,67884.1,67971.0,67755.0,67830.0,72.37113996000001
89,2024-07-21 22:15:00,67824.39,68232.0,67816.08,68118.51,147.70167656
90,2024-07-21 22:30:00,68123.4,68279.0,68101.03,68141.03,101.89979464
91,2024-07-21 22:45:00,68141.04,68263.0,68071.0,68095.96,87.10831828
92,2024-07-21 23:00:00,68094.85,68181.0,67877.72,68054.0,131.50158614
93,2024-07-21 23:15:00,68051.65,68169.0,67890.5,68040.34,207.9273677
94,2024-07-21 23:30:00,68039.29,68119.0,67909.0,67935.0,196.03037374
95,2024-07-21 23:45:00,67920.35,68024.0,67844.9,67893.28,87.39635129
